"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","PK","PKatt","Int","TklW","Fls","Fld","Crs","Off","OG","GA","Saves","SoTA","CS","G_PK","Save_pct","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur","nineties","Gls_90","Ast_90","Sh_90","SoT_90","Int_90","TklW_90","Crs_90","GA_90","low_sample"
"Eric Smith",1997,"se SWE","DF,MF","St Pauli","de Bundesliga",28,27,2311,2,2,12,5,4,1,0,0,24,23,15,29,64,1,0,0,0,0,0,2,NA,"Eric Smith",NA,"Eric Smith","Eric Smith","FC St. Pauli","bundesliga","Defender","Centre-Back","1997-01-08","Sweden",5000000,25.6777777777778,0.08,0.08,0.47,0.19,0.93,0.9,2.49,0,FALSE
"Erling Haaland",2000,"no NOR","FW","Manchester City","eng Premier League",25,35,2953,27,8,126,59,2,0,3,4,4,7,24,25,3,5,0,0,0,0,0,24,NA,"Erling Haaland",NA,"Erling Haaland","Erling Haaland","Manchester City","premier-league","Attack","Centre-Forward","2000-07-21","Norway",200000000,32.8111111111111,0.82,0.24,3.84,1.8,0.12,0.21,0.09,0,FALSE
"Ermedin Demirović",1998,"ba BIH","FW","Stuttgart","de Bundesliga",27,25,1497,12,3,41,22,5,0,1,1,2,10,37,26,1,8,0,0,0,0,0,11,NA,"Ermedin Demirovic",NA,"Ermedin Demirovic","Ermedin Demirovic","VfB Stuttgart","bundesliga","Attack","Centre-Forward","1998-03-25","Bosnia-Herzegovina",22000000,16.6333333333333,0.72,0.18,2.46,1.32,0.12,0.6,0.06,0,FALSE
"Ernest Nuamah",2003,"gh GHA","FW,MF","Lyon","fr Ligue 1",21,3,35,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,"Ernest Nuamah",NA,"Ernest Nuamah","Ernest Nuamah","Olympique Lyon","ligue-1","Attack","Right Winger","2003-11-01","Ghana",10000000,0.388888888888889,0,0,5.14,0,0,0,5.14,0,TRUE
"Esteban Lepaul",2000,"fr FRA","FW","Rennes","fr Ligue 1",25,34,2685,21,5,87,38,3,0,3,4,3,5,25,16,17,9,0,0,0,0,0,18,NA,"Esteban Lepaul",NA,"Esteban Lepaul","Estéban Lepaul","Stade Rennais FC","ligue-1","Attack","Centre-Forward","2000-04-18","France",35000000,29.8333333333333,0.7,0.17,2.92,1.27,0.1,0.17,0.57,0,FALSE
"Ethan Ampadu",2000,"wls WAL","MF","Leeds United","eng Premier League",24,35,3119,1,1,26,6,10,0,0,0,50,46,50,36,25,0,0,0,0,0,0,1,NA,"Ethan Ampadu",NA,"Ethan Ampadu","Ethan Ampadu","Leeds United","premier-league","Midfield","Defensive Midfield","2000-09-14","Wales",30000000,34.6555555555556,0.03,0.03,0.75,0.17,1.44,1.33,0.72,0,FALSE
"Ethan Mbappé",2006,"fr FRA","MF,FW","Lille","fr Ligue 1",18,18,567,3,1,14,7,1,0,0,0,2,7,7,9,34,1,0,0,0,0,0,3,NA,"Ethan Mbappe",NA,"Ethan Mbappe","Ethan Mbappé","LOSC Lille","ligue-1","Attack","Right Winger","2006-12-29","France",8000000,6.3,0.48,0.16,2.22,1.11,0.32,1.11,5.4,0,FALSE
"Ethan Nwaneri",2007,"eng ENG","MF","Marseille","fr Ligue 1",18,15,495,2,1,15,3,1,0,0,0,3,1,6,1,11,0,0,0,0,0,0,2,NA,"Ethan Nwaneri",NA,"Ethan Nwaneri","Ethan Nwaneri","Olympique Marseille","ligue-1","Midfield","Attacking Midfield","2007-03-21","England",35000000,5.5,0.36,0.18,2.73,0.55,0.55,0.18,2,0,FALSE
"Ethan Pinnock",1993,"jm JAM","DF","Brentford","eng Premier League",32,4,318,0,0,1,1,1,0,0,0,5,5,0,2,0,0,1,0,0,0,0,0,NA,"Ethan Pinnock",NA,"Ethan Pinnock","Ethan Pinnock","Brentford FC","premier-league","Defender","Centre-Back","1993-05-29","Jamaica",3000000,3.53333333333333,0,0,0.28,0.28,1.42,1.42,0,0,TRUE
"Etienne Youte Kinkoue",2002,"fr FRA","DF,MF","Le Havre","fr Ligue 1",23,9,419,0,0,0,0,2,0,0,0,1,3,3,1,0,0,0,0,0,0,0,0,NA,"Etienne Youte Kinkoue",NA,"Etienne Youte Kinkoue","Étienne Youté Kinkoué","Le Havre AC","ligue-1","Defender","Centre-Back","2002-01-14","France",2500000,4.65555555555556,0,0,0,0,0.21,0.64,0,0,TRUE
"Evan Ferguson",2004,"ie IRL","FW","Roma","it Serie A",20,16,773,3,2,27,15,1,0,0,0,1,4,11,9,2,3,0,0,0,0,0,3,NA,"Evan Ferguson",NA,"Evan Ferguson","Evan Ferguson","Associazione Sportiva Roma","serie-a","Attack","Centre-Forward","2004-10-19","Ireland",20000000,8.58888888888889,0.35,0.23,3.14,1.75,0.12,0.47,0.23,0,FALSE
"Evanilson",1999,"br BRA","FW","Bournemouth","eng Premier League",25,36,2742,6,1,72,23,2,0,0,0,6,5,26,37,3,28,0,0,0,0,0,6,NA,"Evanilson",NA,"Evanilson","Evanilson","AFC Bournemouth","premier-league","Attack","Centre-Forward","1999-10-06","Brazil",35000000,30.4666666666667,0.2,0.03,2.36,0.75,0.2,0.16,0.1,0,FALSE
"Evann Guessand",2001,"ci CIV","MF","Aston Villa","eng Premier League",24,21,918,1,2,11,6,0,0,0,0,5,11,15,20,11,1,0,0,0,0,0,1,NA,"Evann Guessand",NA,"Evann Guessand","Evann Guessand","Crystal Palace","premier-league","Attack","Right Winger","2001-07-01","Cote d'Ivoire",25000000,10.2,0.1,0.2,1.08,0.59,0.49,1.08,1.08,0,FALSE
"Exequiel Palacios",1998,"ar ARG","MF","Leverkusen","de Bundesliga",26,18,1099,0,1,10,2,3,0,0,0,10,9,6,18,2,0,0,0,0,0,0,0,NA,"Exequiel Palacios",NA,"Exequiel Palacios","Exequiel Palacios","Bayer 04 Leverkusen","bundesliga","Midfield","Central Midfield","1998-10-05","Argentina",25000000,12.2111111111111,0,0.08,0.82,0.16,0.82,0.74,0.16,0,FALSE
"Ezechiel Banzuzi",2005,"nl NED","MF","RB Leipzig","de Bundesliga",20,24,597,0,1,15,4,3,0,0,0,6,10,14,7,5,0,0,0,0,0,0,0,NA,"Ezechiel Banzuzi",NA,"Ezechiel Banzuzi","Ezechiel Banzuzi","RB Leipzig","bundesliga","Midfield","Central Midfield","2005-02-16","Netherlands",16000000,6.63333333333333,0,0.15,2.26,0.6,0.9,1.51,0.75,0,FALSE
"Ezra Mayers",2007,"bb BRB","DF","West Ham United","eng Premier League",18,6,117,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,NA,"Ezra Mayers",NA,"Ezra Mayers","Ezra Mayers","West Ham United","premier-league","Defender","Centre-Back","2007-01-16","England",2000000,1.3,0,0,0.77,0,0.77,0,2.31,0,TRUE
"Ezri Konsa",1997,"eng ENG","DF","Aston Villa","eng Premier League",27,34,3035,0,0,11,2,0,1,0,0,22,8,11,42,5,0,0,0,0,0,0,0,NA,"Ezri Konsa",NA,"Ezri Konsa","Ezri Konsa","Aston Villa","premier-league","Defender","Centre-Back","1997-10-23","England",40000000,33.7222222222222,0,0,0.33,0.06,0.65,0.24,0.15,0,FALSE
"Fabian Rieder",2002,"ch SUI","MF","Augsburg","de Bundesliga",23,35,2476,6,3,39,13,4,0,2,2,15,22,47,39,117,2,0,0,0,0,0,4,NA,"Fabian Rieder",NA,"Fabian Rieder","Fabian Rieder","Stade Rennais FC","ligue-1","Midfield","Attacking Midfield","2002-02-16","Switzerland",12000000,27.5111111111111,0.22,0.11,1.42,0.47,0.55,0.8,4.25,0,FALSE
"Fabian Schär",1991,"ch SUI","DF","Newcastle United","eng Premier League",33,16,1091,0,0,17,4,1,0,0,0,16,9,15,7,4,1,0,0,0,0,0,0,NA,"Fabian Schar",NA,"Fabian Schar","Fabian Schär","Newcastle United","premier-league","Defender","Centre-Back","1991-12-20","Switzerland",4000000,12.1222222222222,0,0,1.4,0.33,1.32,0.74,0.33,0,FALSE
"Fabiano Parisi",2000,"it ITA","MF,FW","Fiorentina","it Serie A",24,23,1520,1,1,24,7,6,0,0,0,17,14,14,66,39,1,1,0,0,0,0,1,NA,"Fabiano Parisi",NA,"Fabiano Parisi","Fabiano Parisi","ACF Fiorentina","serie-a","Defender","Left-Back","2000-11-09","Italy",6000000,16.8888888888889,0.06,0.06,1.42,0.41,1.01,0.83,2.31,0,FALSE
"Fabien Centonze",1996,"fr FRA","MF,DF","Nantes","fr Ligue 1",29,15,736,3,0,8,3,4,0,0,0,20,18,13,8,30,1,0,0,0,0,0,3,NA,"Fabien Centonze",NA,"Fabien Centonze","Fabien Centonze","FC Nantes","ligue-1","Defender","Right-Back","1996-01-16","France",1000000,8.17777777777778,0.37,0,0.98,0.37,2.45,2.2,3.67,0,FALSE
"Fabio Baldé",2005,"pt POR","FW,MF","Hamburger SV","de Bundesliga",20,16,448,1,1,9,4,1,0,0,0,1,7,4,2,16,0,0,0,0,0,0,1,NA,"Fabio Balde",NA,"Fabio Balde","Fábio Baldé","Hamburger SV","bundesliga","Attack","Left Winger","2005-07-20","Portugal",5000000,4.97777777777778,0.2,0.2,1.81,0.8,0.2,1.41,3.21,0,TRUE
"Fabio Carvalho",2002,"pt POR","MF","Brentford","eng Premier League",22,6,102,1,0,2,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,NA,"Fabio Carvalho",NA,"Fabio Carvalho","Fábio Carvalho","Brentford FC","premier-league","Midfield","Attacking Midfield","2002-08-30","Portugal",8000000,1.13333333333333,0.88,0,1.76,0.88,0,1.76,4.41,0,TRUE
"Fabio Chiarodia",2005,"it ITA","DF","Gladbach","de Bundesliga",20,15,674,0,0,4,1,1,0,0,0,13,9,8,1,0,0,0,0,0,0,0,0,NA,"Fabio Chiarodia",NA,"Fabio Chiarodia","Fabio Chiarodia","Borussia Mönchengladbach","bundesliga","Defender","Centre-Back","2005-06-05","Italy",3000000,7.48888888888889,0,0,0.53,0.13,1.74,1.2,0,0,FALSE
"Fabio Miretti",2003,"it ITA","MF","Juventus","it Serie A",21,23,617,1,2,18,5,1,0,0,0,4,9,15,7,17,0,0,0,0,0,0,1,NA,"Fabio Miretti",NA,"Fabio Miretti","Fabio Miretti","Juventus FC","serie-a","Midfield","Central Midfield","2003-08-03","Italy",15000000,6.85555555555556,0.15,0.29,2.63,0.73,0.58,1.31,2.48,0,FALSE
"Fabio Vieira",2000,"pt POR","MF,FW","Hamburger SV","de Bundesliga",25,29,2206,7,5,59,19,4,2,1,1,15,9,18,44,59,1,0,0,0,0,0,6,NA,"Fabio Vieira",NA,"Fabio Vieira","Fábio Vieira","Hamburger SV","bundesliga","Midfield","Attacking Midfield","2000-05-30","Portugal",18000000,24.5111111111111,0.29,0.2,2.41,0.78,0.61,0.37,2.41,0,FALSE
"Facundo Buonanotte",2004,"ar ARG","MF","Chelsea","eng Premier League",20,4,84,0,0,2,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,NA,"Facundo Buonanotte",NA,"Facundo Buonanotte","Facundo Buonanotte","Chelsea FC","premier-league","Midfield","Attacking Midfield","2004-12-23","Argentina",12000000,0.933333333333333,0,0,2.14,0,1.07,0,2.14,0,TRUE
"Facundo Garcés",1999,"my MAS","DF","Alavés","es La Liga",25,10,793,0,0,8,4,3,0,0,0,7,8,13,3,1,2,0,0,0,0,0,0,NA,"Facundo Garces",NA,"Facundo Garces","Facundo Garcés","Deportivo Alavés","laliga","Defender","Centre-Back","1999-09-05","Malaysia",1000000,8.81111111111111,0,0,0.91,0.45,0.79,0.91,0.11,0,FALSE
"Facundo Medina",1999,"ar ARG","DF","Marseille","fr Ligue 1",26,17,1365,0,1,4,1,7,0,0,0,24,16,24,9,13,0,1,0,0,0,0,0,NA,"Facundo Medina",NA,"Facundo Medina","Facundo Medina","Olympique Marseille","ligue-1","Defender","Centre-Back","1999-05-28","Argentina",18000000,15.1666666666667,0,0.07,0.26,0.07,1.58,1.05,0.86,0,FALSE
"Fali Candé",1998,"gw GNB","DF","Sassuolo","it Serie A",27,12,509,0,0,3,0,2,0,0,0,2,9,9,6,4,0,0,0,0,0,0,0,NA,"Fali Cande",NA,"Fali Cande","Fali Candé","US Sassuolo","serie-a","Defender","Centre-Back","1998-01-24","Guinea-Bissau",3000000,5.65555555555556,0,0,0.53,0,0.35,1.59,0.71,0,FALSE
"Fallou Cham",2006,"gm GAM","MF","Hellas Verona","it Serie A",19,6,228,0,0,5,2,0,0,0,0,4,9,7,5,10,1,0,0,0,0,0,0,NA,"Fallou Cham",NA,"Fallou Cham","Fallou Cham","Hellas Verona","serie-a","Defender","Right-Back","2006-02-14","The Gambia",1000000,2.53333333333333,0,0,1.97,0.79,1.58,3.55,3.95,0,TRUE
"Fares Chaïbi",2002,"dz ALG","MF","Eintracht Frankfurt","de Bundesliga",22,28,1792,2,9,35,9,2,0,0,0,13,21,14,21,91,5,0,0,0,0,0,2,NA,"Fares Chaibi",NA,"Fares Chaibi","Farès Chaïbi","Eintracht Frankfurt","bundesliga","Midfield","Attacking Midfield","2002-11-28","Algeria",15000000,19.9111111111111,0.1,0.45,1.76,0.45,0.65,1.05,4.57,0,FALSE
"Federico Baschirotto",1996,"it ITA","DF","Cremonese","it Serie A",28,29,2540,2,0,12,5,2,0,0,0,24,13,45,9,8,1,0,0,0,0,0,2,NA,"Federico Baschirotto",NA,"Federico Baschirotto","Federico Baschirotto","US Cremonese","serie-a","Defender","Centre-Back","1996-09-20","Italy",3500000,28.2222222222222,0.07,0,0.43,0.18,0.85,0.46,0.28,0,FALSE
"Federico Bernardeschi",1994,"it ITA","MF,FW","Bologna","it Serie A",31,29,1217,4,2,39,13,3,0,1,1,6,6,13,11,48,2,0,0,0,0,0,3,NA,"Federico Bernardeschi",NA,"Federico Bernardeschi","Federico Bernardeschi","Bologna Football Club 1909","serie-a","Attack","Right Winger","1994-02-16","Italy",3500000,13.5222222222222,0.3,0.15,2.88,0.96,0.44,0.44,3.55,0,FALSE
"Federico Bonazzoli",1997,"it ITA","FW","Cremonese","it Serie A",28,35,2510,10,1,75,32,4,0,3,3,12,16,26,80,26,4,0,0,0,0,0,7,NA,"Federico Bonazzoli",NA,"Federico Bonazzoli","Federico Bonazzoli","US Cremonese","serie-a","Attack","Centre-Forward","1997-05-21","Italy",2500000,27.8888888888889,0.36,0.04,2.69,1.15,0.43,0.57,0.93,0,FALSE
"Federico Ceccherini",1992,"it ITA","DF","Cremonese","it Serie A",33,9,476,0,1,5,2,1,1,0,0,7,2,10,9,3,0,0,0,0,0,0,0,NA,"Federico Ceccherini",NA,"Federico Ceccherini","Federico Ceccherini","US Cremonese","serie-a","Defender","Centre-Back","1992-05-11","Italy",400000,5.28888888888889,0,0.19,0.95,0.38,1.32,0.38,0.57,0,FALSE
"Federico Chiesa",1997,"it ITA","MF","Liverpool","eng Premier League",27,26,339,2,1,17,5,3,0,0,0,4,5,11,7,17,2,0,0,0,0,0,2,NA,"Federico Chiesa",NA,"Federico Chiesa","Federico Chiesa","Liverpool FC","premier-league","Attack","Right Winger","1997-10-25","Italy",13000000,3.76666666666667,0.53,0.27,4.51,1.33,1.06,1.33,4.51,0,TRUE
"Federico Dimarco",1997,"it ITA","MF","Inter","it Serie A",27,35,2698,7,16,65,22,3,0,0,0,30,31,41,23,295,5,0,0,0,0,0,7,NA,"Federico Dimarco",NA,"Federico Dimarco","Federico Dimarco","Inter Milan","serie-a","Defender","Left-Back","1997-11-10","Italy",50000000,29.9777777777778,0.23,0.53,2.17,0.73,1,1.03,9.84,0,FALSE
"Federico Gatti",1998,"it ITA","DF","Juventus","it Serie A",27,21,1093,2,0,14,6,3,0,0,0,12,10,17,6,2,0,0,0,0,0,0,2,NA,"Federico Gatti",NA,"Federico Gatti","Federico Gatti","Juventus FC","serie-a","Defender","Centre-Back","1998-06-24","Italy",14000000,12.1444444444444,0.16,0,1.15,0.49,0.99,0.82,0.16,0,FALSE
"Federico Gattoni",1999,"ar ARG","DF","Sevilla","es La Liga",26,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Federico Gattoni",NA,"Federico Gattoni","Federico Gattoni","Sevilla FC","laliga","Defender","Centre-Back","1999-02-16","Argentina",800000,0.111111111111111,0,0,0,0,0,0,0,0,TRUE
"Federico Ravaglia",1999,"it ITA","GK","Bologna","it Serie A",25,17,1470,0,0,0,0,4,0,0,0,0,1,2,3,0,0,0,29,52,79,2,0,65.8,"Federico Ravaglia",NA,"Federico Ravaglia","Federico Ravaglia","Bologna Football Club 1909","serie-a","Goalkeeper","Goalkeeper","1999-11-11","Italy",1800000,16.3333333333333,0,0,0,0,0,0.06,0,1.78,FALSE
"Federico Redondo",2003,"ar ARG","MF","Elche","es La Liga",22,11,179,0,0,1,0,0,1,0,0,5,2,8,5,0,0,0,0,0,0,0,0,NA,"Federico Redondo",NA,"Federico Redondo","Federico Redondo","Elche CF","laliga","Midfield","Defensive Midfield","2003-01-18","Argentina",2500000,1.98888888888889,0,0,0.5,0,2.51,1.01,0,0,TRUE
"Federico Valverde",1998,"uy URU","MF,DF","Real Madrid","es La Liga",27,33,2740,5,8,51,22,3,1,0,0,25,25,18,14,30,1,0,0,0,0,0,5,NA,"Federico Valverde",NA,"Federico Valverde","Federico Valverde","Real Madrid","laliga","Midfield","Central Midfield","1998-07-22","Uruguay",90000000,30.4444444444444,0.16,0.26,1.68,0.72,0.82,0.82,0.99,0,FALSE
"Federico Viñas",1998,"uy URU","FW,MF","Oviedo","es La Liga",27,33,2439,9,1,57,21,7,3,2,2,13,32,46,69,3,13,0,0,0,0,0,7,NA,"Federico Vinas",NA,"Federico Vinas","Federico Viñas","Real Oviedo","laliga","Attack","Centre-Forward","1998-06-30","Uruguay",4000000,27.1,0.33,0.04,2.1,0.77,0.48,1.18,0.11,0,FALSE
"Felipe Chávez",2007,"pe PER","MF","Köln","de Bundesliga",18,9,116,0,0,6,1,0,0,0,0,2,2,1,1,2,0,0,0,0,0,0,0,NA,"Felipe Chavez",NA,"Felipe Chavez","Felipe Chávez","1.FC Köln","bundesliga","Midfield","Central Midfield","2007-04-10","Peru",4000000,1.28888888888889,0,0,4.66,0.78,1.55,1.55,1.55,0,TRUE
"Felipe Loyola",2000,"cl CHI","MF","Pisa","it Serie A",24,11,538,1,0,9,1,0,1,0,0,6,7,8,2,4,0,0,0,0,0,0,1,NA,"Felipe Loyola",NA,"Felipe Loyola","Felipe Loyola","Pisa Sporting Club","serie-a","Midfield","Central Midfield","2000-11-09","Chile",7000000,5.97777777777778,0.17,0,1.51,0.17,1,1.17,0.67,0,FALSE
"Felix Agu",1999,"ng NGA","DF,MF","Werder Bremen","de Bundesliga",25,11,744,0,0,2,1,1,0,0,0,11,14,8,14,14,3,0,0,0,0,0,0,NA,"Felix Agu",NA,"Felix Agu","Felix Agu","SV Werder Bremen","bundesliga","Defender","Left-Back","1999-09-27","Nigeria",4500000,8.26666666666667,0,0,0.24,0.12,1.33,1.69,1.69,0,FALSE
"Felix Mambimbi",2001,"ch SUI","FW,MF","Le Havre","fr Ligue 1",24,17,530,1,0,6,2,1,0,0,0,4,10,16,4,5,5,0,0,0,0,0,1,NA,"Felix Mambimbi",NA,"Felix Mambimbi","Felix Mambimbi","Le Havre AC","ligue-1","Attack","Left Winger","2001-01-18","Switzerland",500000,5.88888888888889,0.17,0,1.02,0.34,0.68,1.7,0.85,0,FALSE
"Felix Nmecha",2000,"de GER","MF","Dortmund","de Bundesliga",24,29,2176,2,3,33,7,0,0,0,1,25,23,28,22,7,2,0,0,0,0,0,2,NA,"Felix Nmecha",NA,"Felix Nmecha","Felix Nmecha","Borussia Dortmund","bundesliga","Midfield","Central Midfield","2000-10-10","Germany",50000000,24.1777777777778,0.08,0.12,1.36,0.29,1.03,0.95,0.29,0,FALSE
"Fer López",2004,"es ESP","MF,FW","Celta Vigo","es La Liga",21,26,1405,1,2,18,6,4,0,0,0,6,12,30,22,22,1,0,0,0,0,0,1,NA,"Fer Lopez",NA,"Fer Lopez","Fer López","Celta de Vigo","laliga","Midfield","Attacking Midfield","2004-05-24","Spain",16000000,15.6111111111111,0.06,0.13,1.15,0.38,0.38,0.77,1.41,0,FALSE
"Ferdi Kadioglu",1999,"tr TUR","DF,MF","Brighton","eng Premier League",25,37,3133,1,0,28,13,6,0,0,0,25,39,22,36,109,7,0,0,0,0,0,1,NA,"Ferdi Kadioglu",NA,"Ferdi Kadioglu","Ferdi Kadıoğlu","Brighton & Hove Albion","premier-league","Defender","Left-Back","1999-10-07","Türkiye",35000000,34.8111111111111,0.03,0,0.8,0.37,0.72,1.12,3.13,0,FALSE
"Ferland Mendy",1995,"fr FRA","DF","Real Madrid","es La Liga",30,5,207,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,NA,"Ferland Mendy",NA,"Ferland Mendy","Ferland Mendy","Real Madrid","laliga","Defender","Left-Back","1995-06-08","France",4000000,2.3,0,0,0,0,0.87,0.43,0,0,TRUE
"Fermin López",2003,"es ESP","MF","Barcelona","es La Liga",22,30,1797,6,9,68,25,3,0,0,0,7,22,34,20,36,5,0,0,0,0,0,6,NA,"Fermin Lopez",NA,"Fermin Lopez","Fermín López","FC Barcelona","laliga","Midfield","Attacking Midfield","2003-05-11","Spain",100000000,19.9666666666667,0.3,0.45,3.41,1.25,0.35,1.1,1.8,0,FALSE
"Fernando Calero",1995,"es ESP","DF","Espanyol","es La Liga",29,28,2148,0,0,12,1,5,0,0,0,31,18,15,9,2,0,0,0,0,0,0,0,NA,"Fernando Calero",NA,"Fernando Calero","Fernando Calero","RCD Espanyol Barcelona","laliga","Defender","Centre-Back","1995-09-14","Spain",2000000,23.8666666666667,0,0,0.5,0.04,1.3,0.75,0.08,0,FALSE
"Ferran Jutglà",1999,"es ESP","FW","Celta Vigo","es La Liga",26,30,1652,9,3,45,26,4,0,0,0,8,3,24,30,19,10,0,0,0,0,0,9,NA,"Ferran Jutgla",NA,"Ferran Jutgla","Ferran Jutglà","Celta de Vigo","laliga","Attack","Right Winger","1999-02-01","Spain",10000000,18.3555555555556,0.49,0.16,2.45,1.42,0.44,0.16,1.04,0,FALSE
"Ferrán Torres",2000,"es ESP","FW","Barcelona","es La Liga",25,33,1965,16,2,69,37,2,0,0,0,4,6,13,20,3,12,0,0,0,0,0,16,NA,"Ferran Torres",NA,"Ferran Torres","Ferran Torres","FC Barcelona","laliga","Attack","Centre-Forward","2000-02-29","Spain",50000000,21.8333333333333,0.73,0.09,3.16,1.69,0.18,0.27,0.14,0,FALSE
"Fikayo Tomori",1997,"eng ENG","DF","Milan","it Serie A",27,33,2554,0,2,9,2,8,1,0,0,28,40,36,7,17,2,0,0,0,0,0,0,NA,"Fikayo Tomori",NA,"Fikayo Tomori","Fikayo Tomori","AC Milan","serie-a","Defender","Centre-Back","1997-12-19","England",17000000,28.3777777777778,0,0.07,0.32,0.07,0.99,1.41,0.6,0,FALSE
"Filip Jørgensen",2002,"dk DEN","GK","Chelsea","eng Premier League",23,5,379,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,8,13,0,0,61.5,"Filip Jorgensen",NA,"Filip Jorgensen","Filip Jørgensen","Chelsea FC","premier-league","Goalkeeper","Goalkeeper","2002-04-16","Denmark",15000000,4.21111111111111,0,0,0,0,0.24,0,0,1.19,TRUE
"Filip Kostić",1992,"rs SRB","MF","Juventus","it Serie A",32,18,479,3,1,9,4,1,0,0,0,4,10,8,5,49,0,0,0,0,0,0,3,NA,"Filip Kostic",NA,"Filip Kostic","Filip Kostić","Juventus FC","serie-a","Midfield","Left Midfield","1992-11-01","Serbia",2000000,5.32222222222222,0.56,0.19,1.69,0.75,0.75,1.88,9.21,0,FALSE
"Filippo Mane",2005,"it ITA","DF","Dortmund","de Bundesliga",20,4,131,0,0,0,0,0,1,0,0,2,0,1,2,1,0,0,0,0,0,0,0,NA,"Filippo Mane",NA,"Filippo Mane","Filippo Mane","Borussia Dortmund","bundesliga","Defender","Centre-Back","2005-03-08","Italy",2500000,1.45555555555556,0,0,0,0,1.37,0,0.69,0,TRUE
"Filippo Rinaldi",2002,"it ITA","GK","Parma","it Serie A",22,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,100,"Filippo Rinaldi",NA,"Filippo Rinaldi","Filippo Rinaldi","Parma Calcio 1913","serie-a","Goalkeeper","Goalkeeper","2002-12-04","Italy",600000,1,0,0,0,0,0,0,0,0,TRUE
"Filippo Romagna",1997,"it ITA","DF","Sassuolo","it Serie A",28,5,313,0,0,2,0,0,0,0,0,5,1,0,1,1,0,0,0,0,0,0,0,NA,"Filippo Romagna",NA,"Filippo Romagna","Filippo Romagna","US Sassuolo","serie-a","Defender","Centre-Back","1997-05-26","Italy",800000,3.47777777777778,0,0,0.58,0,1.44,0.29,0.29,0,TRUE
"Filippo Terracciano",2003,"it ITA","DF","Cremonese","it Serie A",22,36,3011,2,0,14,4,6,0,0,0,56,23,18,26,27,0,2,0,0,0,0,2,NA,"Filippo Terracciano",NA,"Filippo Terracciano","Filippo Terracciano","US Cremonese","serie-a","Defender","Centre-Back","2003-02-08","Italy",4500000,33.4555555555556,0.06,0,0.42,0.12,1.67,0.69,0.81,0,FALSE
"Finn Dahmen",1998,"de GER","GK","Augsburg","de Bundesliga",27,34,3060,0,0,1,0,1,0,0,0,0,0,0,9,0,0,0,61,105,159,5,0,66,"Finn Dahmen",NA,"Finn Dahmen","Finn Dahmen","FC Augsburg","bundesliga","Goalkeeper","Goalkeeper","1998-03-27","Germany",12000000,34,0,0,0.03,0,0,0,0,1.79,FALSE
"Finn Jeltsch",2006,"de GER","DF","Stuttgart","de Bundesliga",19,23,1511,0,1,3,0,3,0,0,0,19,14,13,16,3,3,0,0,0,0,0,0,NA,"Finn Jeltsch",NA,"Finn Jeltsch","Finn Jeltsch","VfB Stuttgart","bundesliga","Defender","Centre-Back","2006-07-17","Germany",35000000,16.7888888888889,0,0.06,0.18,0,1.13,0.83,0.18,0,FALSE
"Fisayo Dele-Bashiru",2001,"ng NGA","MF","Lazio","it Serie A",24,24,1187,1,0,9,2,0,0,0,0,4,15,8,3,10,2,0,0,0,0,0,1,NA,"Fisayo Dele-Bashiru",NA,"Fisayo Dele-Bashiru","Fisayo Dele-Bashiru","Società Sportiva Lazio S.p.A.","serie-a","Midfield","Central Midfield","2001-02-06","Nigeria",6000000,13.1888888888889,0.08,0,0.68,0.15,0.3,1.14,0.76,0,FALSE
"Fisnik Asllani",2002,"xk KVX","FW,MF","Hoffenheim","de Bundesliga",22,33,2335,10,7,73,28,2,0,0,0,5,7,26,37,10,14,0,0,0,0,0,10,NA,"Fisnik Asllani",NA,"Fisnik Asllani","Fisnik Asllani","TSG 1899 Hoffenheim","bundesliga","Attack","Centre-Forward","2002-08-08","Kosovo",35000000,25.9444444444444,0.39,0.27,2.81,1.08,0.19,0.27,0.39,0,FALSE
"Florent Hanin",1990,"dz ALG","DF,MF","Angers","fr Ligue 1",35,25,865,0,0,3,0,0,0,0,0,13,8,8,8,26,0,0,0,0,0,0,0,NA,"Florent Hanin",NA,"Florent Hanin","Florent Hanin","Angers SCO","ligue-1","Defender","Left-Back","1990-02-04","France",200000,9.61111111111111,0,0,0.31,0,1.35,0.83,2.71,0,FALSE
