"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","PK","PKatt","Int","TklW","Fls","Fld","Crs","Off","OG","GA","Saves","SoTA","CS","G_PK","Save_pct","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur","nineties","Gls_90","Ast_90","Sh_90","SoT_90","Int_90","TklW_90","Crs_90","GA_90","low_sample"
"Aljoscha Kemlein",2004,"de GER","MF","Union Berlin","de Bundesliga",20,30,1959,0,2,17,2,4,0,0,0,18,25,22,11,9,0,0,0,0,0,0,0,NA,"Aljoscha Kemlein",NA,"Aljoscha Kemlein","Aljoscha Kemlein","1.FC Union Berlin","bundesliga","Midfield","Defensive Midfield","2004-08-02","Germany",12000000,21.7666666666667,0,0.09,0.78,0.09,0.83,1.15,0.41,0,FALSE
"Allan Nyom",1988,"cm CMR","DF","Getafe","es La Liga",37,15,523,0,1,3,1,6,1,0,0,1,6,13,8,8,1,0,0,0,0,0,0,NA,"Allan Nyom",NA,"Allan Nyom","Allan Nyom","Getafe CF","laliga","Defender","Right-Back","1988-05-10","Cameroon",100000,5.81111111111111,0,0.17,0.52,0.17,0.17,1.03,1.38,0,FALSE
"Almugera Kabar",2006,"de GER","DF","Dortmund","de Bundesliga",19,1,16,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,NA,"Almugera Kabar",NA,"Almugera Kabar","Almugera Kabar","Borussia Dortmund","bundesliga","Defender","Left-Back","2006-06-06","Germany",3000000,0.177777777777778,0,0,5.62,0,0,5.62,11.25,0,TRUE
"Alpha Touré",2006,"sn SEN","MF","Metz","fr Ligue 1",19,30,1606,0,1,17,1,5,0,0,0,10,23,27,27,13,1,0,0,0,0,0,0,NA,"Alpha Toure",NA,"Alpha Toure","Alpha Touré","FC Metz","ligue-1","Midfield","Defensive Midfield","2006-01-25","Senegal",5000000,17.8444444444444,0,0.06,0.95,0.06,0.56,1.29,0.73,0,FALSE
"Alphonse Areola",1993,"fr FRA","GK","West Ham United","eng Premier League",32,20,1800,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,37,76,108,0,0,70.4,"Alphonse Areola",NA,"Alphonse Areola","Alphonse Areola","West Ham United","premier-league","Goalkeeper","Goalkeeper","1993-02-27","France",4000000,20,0,0.05,0,0,0.05,0,0,1.85,FALSE
"Alphonso Davies",2000,"ca CAN","DF","Bayern Munich","de Bundesliga",24,13,525,1,3,4,1,1,0,0,0,3,6,2,5,6,0,0,0,0,0,0,1,NA,"Alphonso Davies",NA,"Alphonso Davies","Alphonso Davies","Bayern Munich","bundesliga","Defender","Left-Back","2000-11-02","Canada",40000000,5.83333333333333,0.17,0.51,0.69,0.17,0.51,1.03,1.03,0,FALSE
"Altay Bayındır",1998,"tr TUR","GK","Manchester Utd","eng Premier League",27,6,540,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,13,24,0,0,54.2,"Altay Bayindir",NA,"Altay Bayindir","Altay Bayındır","Manchester United","premier-league","Goalkeeper","Goalkeeper","1998-04-14","Türkiye",5000000,6,0,0,0,0,0,0,0,1.83,FALSE
"Amad Diallo",2002,"ci CIV","MF","Manchester Utd","eng Premier League",23,32,2341,2,3,53,23,2,0,0,0,15,23,24,38,46,12,0,0,0,0,0,2,NA,"Amad Diallo",NA,"Amad Diallo","Amad Diallo","Manchester United","premier-league","Attack","Right Winger","2002-07-11","Cote d'Ivoire",45000000,26.0111111111111,0.08,0.12,2.04,0.88,0.58,0.88,1.77,0,FALSE
"Amadou Haidara",1998,"ml MLI","MF","Lens","fr Ligue 1",27,7,259,1,1,2,2,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,1,NA,"Amadou Haidara",NA,"Amadou Haidara","Amadou Haidara","RB Leipzig","bundesliga","Midfield","Central Midfield","1998-01-31","Mali",5000000,2.87777777777778,0.35,0.35,0.69,0.69,0.69,0,0,0,TRUE
"Amadou Onana",2001,"be BEL","MF","Aston Villa","eng Premier League",23,25,1758,2,0,19,7,3,0,0,0,19,30,20,25,0,0,0,0,0,0,0,2,NA,"Amadou Onana",NA,"Amadou Onana","Amadou Onana","Aston Villa","premier-league","Midfield","Defensive Midfield","2001-08-16","Belgium",45000000,19.5333333333333,0.1,0,0.97,0.36,0.97,1.54,0,0,FALSE
"Ameen Al-Dakhil",2002,"be BEL","DF","Stuttgart","de Bundesliga",23,8,380,0,0,1,0,1,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,NA,"Ameen Al-Dakhil",NA,"Ameen Al-Dakhil","Ameen Al-Dakhil","VfB Stuttgart","bundesliga","Defender","Centre-Back","2002-03-06","Belgium",3000000,4.22222222222222,0,0,0.24,0,1.18,0.71,0,0,TRUE
"Amin Sarr",2001,"se SWE","FW,MF","Hellas Verona","it Serie A",24,34,1102,0,1,19,6,2,1,0,0,4,9,25,22,12,7,0,0,0,0,0,0,NA,"Amin Sarr",NA,"Amin Sarr","Amin Sarr","Hellas Verona","serie-a","Attack","Centre-Forward","2001-03-11","Sweden",2400000,12.2444444444444,0,0.08,1.55,0.49,0.33,0.74,0.98,0,FALSE
"Amine Adli",2000,"ma MAR","MF","Bournemouth","eng Premier League",25,31,1093,3,1,20,9,2,0,0,0,6,17,29,23,39,5,0,0,0,0,0,3,NA,"Amine Adli",NA,"Amine Adli","Amine Adli","AFC Bournemouth","premier-league","Attack","Left Winger","2000-05-10","Morocco",20000000,12.1444444444444,0.25,0.08,1.65,0.74,0.49,1.4,3.21,0,FALSE
"Amine Gouiri",2000,"dz ALG","FW,MF","Marseille","fr Ligue 1",25,22,1326,8,3,38,17,1,0,0,0,3,9,17,16,37,4,0,0,0,0,0,8,NA,"Amine Gouiri",NA,"Amine Gouiri","Amine Gouiri","Olympique Marseille","ligue-1","Attack","Centre-Forward","2000-02-16","Algeria",28000000,14.7333333333333,0.54,0.2,2.58,1.15,0.2,0.61,2.51,0,FALSE
"Amir Richardson",2002,"ma MAR","MF","Fiorentina","it Serie A",23,2,42,0,0,1,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,NA,"Amir Richardson",NA,"Amir Richardson","Amir Richardson","ACF Fiorentina","serie-a","Midfield","Central Midfield","2002-01-24","Morocco",4000000,0.466666666666667,0,0,2.14,0,0,2.14,2.14,0,TRUE
