"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur"
"Fer López",2004,"es ESP","MF,FW","Celta Vigo","es La Liga",21,26,1405,1,2,18,6,4,0,"Fer Lopez",NA,"Fer Lopez","Fer López","Celta de Vigo","laliga","Midfield","Attacking Midfield",2004-05-24,"Spain",16000000
"Ferdi Kadioglu",1999,"tr TUR","DF,MF","Brighton","eng Premier League",25,37,3133,1,0,28,13,6,0,"Ferdi Kadioglu",NA,"Ferdi Kadioglu","Ferdi Kadıoğlu","Brighton & Hove Albion","premier-league","Defender","Left-Back",1999-10-07,"Türkiye",35000000
"Ferland Mendy",1995,"fr FRA","DF","Real Madrid","es La Liga",30,5,207,0,0,0,0,0,0,"Ferland Mendy",NA,"Ferland Mendy","Ferland Mendy","Real Madrid","laliga","Defender","Left-Back",1995-06-08,"France",4000000
"Fermin López",2003,"es ESP","MF","Barcelona","es La Liga",22,30,1797,6,9,68,25,3,0,"Fermin Lopez",NA,"Fermin Lopez","Fermín López","FC Barcelona","laliga","Midfield","Attacking Midfield",2003-05-11,"Spain",100000000
"Fernando Calero",1995,"es ESP","DF","Espanyol","es La Liga",29,28,2148,0,0,12,1,5,0,"Fernando Calero",NA,"Fernando Calero","Fernando Calero","RCD Espanyol Barcelona","laliga","Defender","Centre-Back",1995-09-14,"Spain",2000000
"Ferran Jutglà",1999,"es ESP","FW","Celta Vigo","es La Liga",26,30,1652,9,3,45,26,4,0,"Ferran Jutgla",NA,"Ferran Jutgla","Ferran Jutglà","Celta de Vigo","laliga","Attack","Right Winger",1999-02-01,"Spain",10000000
"Ferrán Torres",2000,"es ESP","FW","Barcelona","es La Liga",25,33,1965,16,2,69,37,2,0,"Ferran Torres",NA,"Ferran Torres","Ferran Torres","FC Barcelona","laliga","Attack","Centre-Forward",2000-02-29,"Spain",50000000
"Fikayo Tomori",1997,"eng ENG","DF","Milan","it Serie A",27,33,2554,0,2,9,2,8,1,"Fikayo Tomori",NA,"Fikayo Tomori","Fikayo Tomori","AC Milan","serie-a","Defender","Centre-Back",1997-12-19,"England",17000000
"Filip Jørgensen",2002,"dk DEN","GK","Chelsea","eng Premier League",23,5,379,0,0,0,0,0,0,"Filip Jorgensen",NA,"Filip Jorgensen","Filip Jørgensen","Chelsea FC","premier-league","Goalkeeper","Goalkeeper",2002-04-16,"Denmark",15000000
"Filip Kostić",1992,"rs SRB","MF","Juventus","it Serie A",32,18,479,3,1,9,4,1,0,"Filip Kostic",NA,"Filip Kostic","Filip Kostić","Juventus FC","serie-a","Midfield","Left Midfield",1992-11-01,"Serbia",2000000
"Filippo Mane",2005,"it ITA","DF","Dortmund","de Bundesliga",20,4,131,0,0,0,0,0,1,"Filippo Mane",NA,"Filippo Mane","Filippo Mane","Borussia Dortmund","bundesliga","Defender","Centre-Back",2005-03-08,"Italy",2500000
"Filippo Rinaldi",2002,"it ITA","GK","Parma","it Serie A",22,1,90,0,0,0,0,1,0,"Filippo Rinaldi",NA,"Filippo Rinaldi","Filippo Rinaldi","Parma Calcio 1913","serie-a","Goalkeeper","Goalkeeper",2002-12-04,"Italy",600000
"Filippo Romagna",1997,"it ITA","DF","Sassuolo","it Serie A",28,5,313,0,0,2,0,0,0,"Filippo Romagna",NA,"Filippo Romagna","Filippo Romagna","US Sassuolo","serie-a","Defender","Centre-Back",1997-05-26,"Italy",800000
"Filippo Terracciano",2003,"it ITA","DF","Cremonese","it Serie A",22,36,3011,2,0,14,4,6,0,"Filippo Terracciano",NA,"Filippo Terracciano","Filippo Terracciano","US Cremonese","serie-a","Defender","Centre-Back",2003-02-08,"Italy",4500000
"Finn Dahmen",1998,"de GER","GK","Augsburg","de Bundesliga",27,34,3060,0,0,1,0,1,0,"Finn Dahmen",NA,"Finn Dahmen","Finn Dahmen","FC Augsburg","bundesliga","Goalkeeper","Goalkeeper",1998-03-27,"Germany",12000000
"Finn Jeltsch",2006,"de GER","DF","Stuttgart","de Bundesliga",19,23,1511,0,1,3,0,3,0,"Finn Jeltsch",NA,"Finn Jeltsch","Finn Jeltsch","VfB Stuttgart","bundesliga","Defender","Centre-Back",2006-07-17,"Germany",35000000
"Fisayo Dele-Bashiru",2001,"ng NGA","MF","Lazio","it Serie A",24,24,1187,1,0,9,2,0,0,"Fisayo Dele-Bashiru",NA,"Fisayo Dele-Bashiru","Fisayo Dele-Bashiru","Società Sportiva Lazio S.p.A.","serie-a","Midfield","Central Midfield",2001-02-06,"Nigeria",6000000
"Fisnik Asllani",2002,"xk KVX","FW,MF","Hoffenheim","de Bundesliga",22,33,2335,10,7,73,28,2,0,"Fisnik Asllani",NA,"Fisnik Asllani","Fisnik Asllani","TSG 1899 Hoffenheim","bundesliga","Attack","Centre-Forward",2002-08-08,"Kosovo",35000000
"Florent Hanin",1990,"dz ALG","DF,MF","Angers","fr Ligue 1",35,25,865,0,0,3,0,0,0,"Florent Hanin",NA,"Florent Hanin","Florent Hanin","Angers SCO","ligue-1","Defender","Left-Back",1990-02-04,"France",200000
"Florian Kainz",1992,"at AUT","MF","Köln","de Bundesliga",32,15,279,1,1,8,4,1,0,"Florian Kainz",NA,"Florian Kainz","Florian Kainz","1.FC Köln","bundesliga","Midfield","Attacking Midfield",1992-10-24,"Austria",1000000
"Florian Lejeune",1991,"fr FRA","DF","Rayo Vallecano","es La Liga",34,36,3230,2,1,50,18,7,0,"Florian Lejeune",NA,"Florian Lejeune","Florian Lejeune","Rayo Vallecano","laliga","Defender","Centre-Back",1991-05-20,"France",1800000
"Florian Neuhaus",1997,"de GER","MF,FW","Gladbach","de Bundesliga",28,17,930,0,1,22,6,0,0,"Florian Neuhaus",NA,"Florian Neuhaus","Florian Neuhaus","Borussia Mönchengladbach","bundesliga","Midfield","Central Midfield",1997-03-16,"Germany",2500000
"Florian Sotoca",1990,"fr FRA","MF,FW","Lens","fr Ligue 1",34,26,507,1,0,13,1,1,0,"Florian Sotoca",NA,"Florian Sotoca","Florian Sotoca","RC Lens","ligue-1","Attack","Centre-Forward",1990-10-25,"France",1200000
"Florian Thauvin",1993,"fr FRA","MF","Lens","fr Ligue 1",32,33,2443,11,6,74,27,6,0,"Florian Thauvin",NA,"Florian Thauvin","Florian Thauvin","RC Lens","ligue-1","Attack","Right Winger",1993-01-26,"France",5000000
"Florian Wirtz",2003,"de GER","MF","Liverpool","eng Premier League",22,33,2378,5,3,51,18,1,0,"Florian Wirtz",NA,"Florian Wirtz","Florian Wirtz","Liverpool FC","premier-league","Midfield","Attacking Midfield",2003-05-03,"Germany",100000000
"Fodé Ballo-Touré",1997,"sn SEN","DF,MF","Metz","fr Ligue 1",28,13,836,0,0,5,1,2,0,"Fode Ballo-Toure",NA,"Fode Ballo-Toure","Fodé Ballo-Touré","FC Metz","ligue-1","Defender","Left-Back",1997-01-03,"Senegal",900000
"Fodé Doucouré",2001,"ml MLI","MF,FW","Le Havre","fr Ligue 1",24,26,1239,3,1,20,8,2,0,"Fode Doucoure",NA,"Fode Doucoure","Fodé Doucouré","Le Havre AC","ligue-1","Defender","Right-Back",2001-02-03,"Mali",2000000
"Fodé Sylla",2006,"fr FRA","MF","Lens","fr Ligue 1",19,4,99,0,0,0,0,0,0,"Fode Sylla",NA,"Fode Sylla","Fodé Sylla","RC Lens","ligue-1","Midfield","Defensive Midfield",2006-04-16,"France",900000
"Folarin Balogun",2001,"us USA","FW","Monaco","fr Ligue 1",24,30,2230,13,4,77,32,4,1,"Folarin Balogun",NA,"Folarin Balogun","Folarin Balogun","AS Monaco","ligue-1","Attack","Centre-Forward",2001-07-03,"United States",40000000
"Formose Mendy",2001,"sn SEN","DF","Lorient","fr Ligue 1",24,2,135,0,0,0,0,1,0,"Formose Mendy",NA,"Formose Mendy","Formose Mendy","FC Lorient","ligue-1","Defender","Centre-Back",2001-01-02,"Senegal",4500000
"Fran Beltrán",1999,"es ESP","MF","Girona","es La Liga",26,27,1540,1,0,16,4,3,0,"Fran Beltran",NA,"Fran Beltran","Fran Beltrán","Girona FC","laliga","Midfield","Central Midfield",1999-02-03,"Spain",4000000
"Fran Garcia",1999,"es ESP","DF,MF","Real Madrid","es La Liga",25,13,929,1,1,6,2,2,1,"Fran Garcia",NA,"Fran Garcia","Fran García","Real Madrid","laliga","Defender","Left-Back",1999-08-14,"Spain",10000000
"Francesco Acerbi",1988,"it ITA","DF","Inter","it Serie A",37,18,1378,0,1,3,1,3,0,"Francesco Acerbi",NA,"Francesco Acerbi","Francesco Acerbi","Inter Milan","serie-a","Defender","Centre-Back",1988-02-10,"Italy",2000000
"Francesco Camarda",2008,"it ITA","FW","Lecce","it Serie A",17,21,687,1,0,16,3,1,0,"Francesco Camarda",NA,"Francesco Camarda","Francesco Camarda","US Lecce","serie-a","Attack","Centre-Forward",2008-03-10,"Italy",15000000
"Francesco Coppola",2005,"it ITA","DF","Pisa","it Serie A",20,7,458,0,0,2,0,3,0,"Francesco Coppola",NA,"Francesco Coppola","Francesco Coppola","Pisa Sporting Club","serie-a","Defender","Centre-Back",2005-04-11,"Italy",3500000
"Francesco Folino",2002,"it ITA","DF","Cremonese","it Serie A",23,18,722,1,0,2,1,1,0,"Francesco Folino",NA,"Francesco Folino","Francesco Folino","US Cremonese","serie-a","Defender","Centre-Back",2002-01-23,"Italy",800000
"Francis Coquelin",1991,"fr FRA","MF","Nantes","fr Ligue 1",34,16,655,0,1,6,1,2,0,"Francis Coquelin",NA,"Francis Coquelin","Francis Coquelin","FC Nantes","ligue-1","Midfield","Defensive Midfield",1991-05-13,"France",700000
"Francisco Conceição",2002,"pt POR","MF,FW","Juventus","it Serie A",22,31,2078,3,5,73,23,3,0,"Francisco Conceicao",NA,"Francisco Conceicao","Francisco Conceição","Juventus FC","serie-a","Attack","Right Winger",2002-12-14,"Portugal",30000000
"Francisco Sierralta",1997,"cl CHI","DF","Auxerre","fr Ligue 1",28,10,861,1,0,7,2,2,0,"Francisco Sierralta",NA,"Francisco Sierralta","Francisco Sierralta","AJ Auxerre","ligue-1","Defender","Centre-Back",1997-05-06,"Chile",1200000
"Franck Honorat",1996,"fr FRA","MF,FW","Gladbach","de Bundesliga",28,28,1977,2,6,17,5,0,0,"Franck Honorat",NA,"Franck Honorat","Franck Honorat","Borussia Mönchengladbach","bundesliga","Attack","Right Winger",1996-08-11,"France",7000000
"Franco Carboni",2003,"it ITA","MF","Parma","it Serie A",22,7,114,0,0,0,0,0,0,"Franco Carboni",NA,"Franco Carboni","Franco Carboni","Parma Calcio 1913","serie-a","Defender","Left-Back",2003-04-04,"Argentina",900000
"Franco Israel",2000,"uy URU","GK","Torino","it Serie A",25,9,810,0,0,0,0,1,0,"Franco Israel",NA,"Franco Israel","Franco Israel","Torino FC","serie-a","Goalkeeper","Goalkeeper",2000-04-22,"Uruguay",2500000
"Franco Mastantuono",2007,"ar ARG","MF,FW","Real Madrid","es La Liga",17,23,1037,1,0,30,7,5,1,"Franco Mastantuono",NA,"Franco Mastantuono","Franco Mastantuono","Real Madrid","laliga","Attack","Right Winger",2007-08-14,"Argentina",45000000
"Frank Feller",2004,"de GER","GK","Heidenheim","de Bundesliga",21,3,270,0,0,0,0,0,0,"Frank Feller",NA,"Frank Feller","Frank Feller","1. Fußballclub Heidenheim 1846","bundesliga","Goalkeeper","Goalkeeper",2004-01-07,"Germany",800000
"Frank Magri",1999,"cm CMR","FW,MF","Toulouse","fr Ligue 1",25,17,1253,5,1,33,12,3,0,"Frank Magri",NA,"Frank Magri","Frank Magri","FC Toulouse","ligue-1","Attack","Centre-Forward",1999-09-04,"Cameroon",3000000
"Frank Onyeka",1998,"ng NGA","MF","Brentford","eng Premier League",27,6,92,0,1,0,0,0,0,"Frank Onyeka",NA,"Frank Onyeka","Frank Onyeka","Brentford FC","premier-league","Midfield","Central Midfield",1998-01-01,"Nigeria",8000000
"Freddie Potts",2003,"eng ENG","MF","West Ham United","eng Premier League",21,22,1171,0,1,3,1,1,0,"Freddie Potts",NA,"Freddie Potts","Freddie Potts","West Ham United","premier-league","Midfield","Defensive Midfield",2003-09-12,"England",10000000
"Freddie Woodman",1997,"eng ENG","GK","Liverpool","eng Premier League",28,3,213,0,0,0,0,0,0,"Freddie Woodman",NA,"Freddie Woodman","Freddie Woodman","Liverpool FC","premier-league","Goalkeeper","Goalkeeper",1997-03-04,"England",3000000
"Frederic Guilbert",1994,"fr FRA","DF,MF","Nantes","fr Ligue 1",30,8,607,0,0,7,2,1,0,"Frederic Guilbert",NA,"Frederic Guilbert","Frédéric Guilbert","FC Nantes","ligue-1","Defender","Right-Back",1994-12-24,"France",800000
"Frederik Rønnow",1992,"dk DEN","GK","Union Berlin","de Bundesliga",32,30,2640,0,0,0,0,2,0,"Frederik Ronnow",NA,"Frederik Ronnow","Frederik Rönnow","1.FC Union Berlin","bundesliga","Goalkeeper","Goalkeeper",1992-08-04,"Denmark",2000000
"Fredrik Oppegard",2002,"no NOR","MF,DF","Auxerre","fr Ligue 1",22,23,1246,0,0,10,2,1,1,"Fredrik Oppegard",NA,"Fredrik Oppegard","Fredrik Oppegård","AJ Auxerre","ligue-1","Defender","Left-Back",2002-08-07,"Norway",1500000
"Frenkie de Jong",1997,"nl NED","MF","Barcelona","es La Liga",28,25,1636,1,5,7,2,4,1,"Frenkie de Jong",NA,"Frenkie de Jong","Frenkie de Jong","FC Barcelona","laliga","Midfield","Central Midfield",1997-05-12,"Netherlands",35000000
"Fynn Schenten",2007,"de GER","FW","Köln","de Bundesliga",17,7,100,0,0,1,0,0,0,"Fynn Schenten",NA,"Fynn Schenten","Fynn Schenten","1.FC Köln","bundesliga","Attack","Centre-Forward",2007-09-14,"Germany",1000000
"Fábio Cardoso",1994,"pt POR","DF","Sevilla","es La Liga",31,4,295,0,0,0,0,0,0,"Fabio Cardoso",NA,"Fabio Cardoso","Fábio Cardoso","Sevilla FC","laliga","Defender","Centre-Back",1994-04-19,"Portugal",1500000
"Fábio Silva",2002,"pt POR","FW,MF","Dortmund","de Bundesliga",23,28,817,2,6,23,8,3,0,"Fabio Silva",NA,"Fabio Silva","Fábio Silva","Borussia Dortmund","bundesliga","Attack","Centre-Forward",2002-07-19,"Portugal",22000000
"Félix Correia",2001,"pt POR","MF","Lille","fr Ligue 1",24,34,2053,4,5,37,8,2,0,"Felix Correia",NA,"Felix Correia","Félix Correia","LOSC Lille","ligue-1","Attack","Left Winger",2001-01-22,"Portugal",10000000
"Gabin Bernardeau",2006,"fr FRA","MF","Nice","fr Ligue 1",19,4,95,0,0,3,1,0,0,"Gabin Bernardeau",NA,"Gabin Bernardeau","Gabin Bernardeau","OGC Nice","ligue-1","Midfield","Attacking Midfield",2006-01-24,"France",1200000
"Gabriel Gudmundsson",1999,"se SWE","DF,MF","Leeds United","eng Premier League",26,32,2631,0,0,18,3,6,1,"Gabriel Gudmundsson",NA,"Gabriel Gudmundsson","Gabriel Gudmundsson","Leeds United","premier-league","Defender","Left-Back",1999-04-29,"Sweden",20000000
"Gabriel Jesus",1997,"br BRA","FW","Arsenal","eng Premier League",28,14,429,3,0,19,12,3,0,"Gabriel Jesus",NA,"Gabriel Jesus","Gabriel Jesus","Arsenal FC","premier-league","Attack","Centre-Forward",1997-04-03,"Brazil",17000000
"Gabriel Magalhães",1997,"br BRA","DF","Arsenal","eng Premier League",27,32,2751,3,4,27,7,4,0,"Gabriel Magalhaes","Gabriel","Gabriel","Gabriel","Arsenal FC","premier-league","Defender","Centre-Back",1997-12-19,"Brazil",75000000
"Gabriel Martinelli",2001,"br BRA","FW,MF","Arsenal","eng Premier League",24,30,1081,1,4,29,13,3,0,"Gabriel Martinelli",NA,"Gabriel Martinelli","Gabriel Martinelli","Arsenal FC","premier-league","Attack","Left Winger",2001-06-18,"Brazil",45000000
"Gabriel Osho",1998,"ng NGA","DF","Auxerre","fr Ligue 1",26,2,134,0,0,0,0,0,0,"Gabriel Osho",NA,"Gabriel Osho","Gabriel Osho","AJ Auxerre","ligue-1","Defender","Centre-Back",1998-08-14,"Nigeria",3000000
"Gabriel Suazo",1997,"cl CHI","DF,MF","Sevilla","es La Liga",27,29,2096,0,2,5,2,7,0,"Gabriel Suazo",NA,"Gabriel Suazo","Gabriel Suazo","Sevilla FC","laliga","Defender","Left-Back",1997-08-09,"Chile",6000000
"Gabriele Piccinini",2001,"it ITA","MF","Pisa","it Serie A",24,25,875,0,0,19,7,3,0,"Gabriele Piccinini",NA,"Gabriele Piccinini","Gabriele Piccinini","Pisa Sporting Club","serie-a","Midfield","Central Midfield",2001-04-06,"Italy",3000000
"Gabriele Zappa",1999,"it ITA","DF,MF","Cagliari","it Serie A",25,31,1597,0,3,11,2,2,0,"Gabriele Zappa",NA,"Gabriele Zappa","Gabriele Zappa","Cagliari Calcio","serie-a","Defender","Right-Back",1999-12-22,"Italy",3000000
"Gaby Jean",2000,"fr FRA","DF","Lecce","it Serie A",25,7,197,0,0,0,0,1,0,"Gaby Jean",NA,"Gaby Jean","Gaby Jean","US Lecce","serie-a","Defender","Centre-Back",2000-02-19,"France",1500000
"Gaetano Oristanio",2002,"it ITA","FW,MF","Parma","it Serie A",22,20,859,1,0,24,4,1,0,"Gaetano Oristanio",NA,"Gaetano Oristanio","Gaetano Oristanio","Parma Calcio 1913","serie-a","Midfield","Attacking Midfield",2002-09-28,"Italy",5000000
"Gauthier Hein",1996,"fr FRA","MF,FW","Metz","fr Ligue 1",28,29,2351,8,7,44,13,3,1,"Gauthier Hein",NA,"Gauthier Hein","Gauthier Hein","FC Metz","ligue-1","Attack","Right Winger",1996-08-07,"France",5000000
"Gautier Lloris",1995,"fr FRA","DF","Le Havre","fr Ligue 1",30,29,2398,1,1,12,4,2,1,"Gautier Lloris",NA,"Gautier Lloris","Gautier Lloris","Le Havre AC","ligue-1","Defender","Centre-Back",1995-07-18,"France",3000000
"Gavi",2004,"es ESP","MF","Barcelona","es La Liga",20,11,573,0,1,0,0,3,0,"Gavi",NA,"Gavi","Gavi","FC Barcelona","laliga","Midfield","Central Midfield",2004-08-05,"Spain",30000000
"Gaëtan Perrin",1996,"fr FRA","MF,FW","Lille","fr Ligue 1",29,12,338,1,0,7,4,2,0,"Gaetan Perrin",NA,"Gaetan Perrin","Gaëtan Perrin","LOSC Lille","ligue-1","Attack","Right Winger",1996-06-07,"France",5000000
"Gennaro Borrelli",2000,"it ITA","FW","Cagliari","it Serie A",25,27,1275,5,1,30,12,4,0,"Gennaro Borrelli",NA,"Gennaro Borrelli","Gennaro Borrelli","Cagliari Calcio","serie-a","Attack","Centre-Forward",2000-03-10,"Italy",3000000
"Geoffrey Kondogbia",1993,"cf CTA","MF,DF","Marseille","fr Ligue 1",32,10,587,0,0,4,1,3,0,"Geoffrey Kondogbia",NA,"Geoffrey Kondogbia","Geoffrey Kondogbia","Olympique Marseille","ligue-1","Midfield","Defensive Midfield",1993-02-15,"Central African Republic",3000000
"George Earthy",2004,"eng ENG","MF","West Ham United","eng Premier League",20,1,9,0,0,0,0,0,0,"George Earthy",NA,"George Earthy","George Earthy","West Ham United","premier-league","Midfield","Attacking Midfield",2004-09-05,"England",1000000
"Georges Mikautadze",2000,"ge GEO","FW","Villarreal","es La Liga",24,34,2288,14,6,75,36,1,0,"Georges Mikautadze",NA,"Georges Mikautadze","Georges Mikautadze","Villarreal CF","laliga","Attack","Centre-Forward",2000-10-31,"Georgia",30000000
"Georginio Rutter",2002,"fr FRA","MF,FW","Brighton","eng Premier League",23,32,1786,3,3,42,14,2,0,"Georginio Rutter",NA,"Georginio Rutter","Georginio Rutter","Brighton & Hove Albion","premier-league","Attack","Centre-Forward",2002-04-20,"France",30000000
"Gerard Gumbau",1994,"es ESP","MF","Rayo Vallecano","es La Liga",30,28,1175,0,3,20,5,4,0,"Gerard Gumbau",NA,"Gerard Gumbau","Gerard Gumbau","Rayo Vallecano","laliga","Midfield","Defensive Midfield",1994-12-18,"Spain",1200000
"Gerard Martín",2002,"es ESP","DF","Barcelona","es La Liga",23,32,2119,0,0,7,4,6,0,"Gerard Martin",NA,"Gerard Martin","Gerard Martín","FC Barcelona","laliga","Defender","Centre-Back",2002-02-26,"Spain",35000000
"Gerard Moreno",1992,"es ESP","FW","Villarreal","es La Liga",33,22,1343,10,0,39,16,0,0,"Gerard Moreno",NA,"Gerard Moreno","Gerard Moreno","Villarreal CF","laliga","Attack","Centre-Forward",1992-04-07,"Spain",2500000
"Germán Valera",2002,"es ESP","MF,DF","Elche","es La Liga",23,36,2857,4,5,28,8,4,1,"German Valera",NA,"German Valera","Germán Valera","Elche CF","laliga","Attack","Left Winger",2002-03-16,"Spain",6000000
"Gerónimo Rulli",1992,"ar ARG","GK","Marseille","fr Ligue 1",33,29,2610,0,0,1,0,3,0,"Geronimo Rulli",NA,"Geronimo Rulli","Gerónimo Rulli","Olympique Marseille","ligue-1","Goalkeeper","Goalkeeper",1992-05-20,"Argentina",6000000
"Gessime Yassine",2005,"ma MAR","MF","Strasbourg","fr Ligue 1",19,12,510,0,1,8,1,0,0,"Gessime Yassine",NA,"Gessime Yassine","Gessime Yassine","RC Strasbourg Alsace","ligue-1","Attack","Right Winger",2005-11-22,"Morocco",12000000
"Giacomo Raspadori",2000,"it ITA","MF,FW","Atalanta","it Serie A",25,25,1032,3,2,35,14,1,0,"Giacomo Raspadori",NA,"Giacomo Raspadori","Giacomo Raspadori","Atalanta BC","serie-a","Attack","Second Striker",2000-02-18,"Italy",22000000
"Gianluca Gaetano",2000,"it ITA","MF,FW","Cagliari","it Serie A",25,33,1912,2,4,34,11,4,0,"Gianluca Gaetano",NA,"Gianluca Gaetano","Gianluca Gaetano","Cagliari Calcio","serie-a","Midfield","Defensive Midfield",2000-05-05,"Italy",6500000
"Gianluca Mancini",1996,"it ITA","DF","Roma","it Serie A",29,36,3059,4,2,20,8,9,0,"Gianluca Mancini",NA,"Gianluca Mancini","Gianluca Mancini","Associazione Sportiva Roma","serie-a","Defender","Centre-Back",1996-04-17,"Italy",15000000
"Gianluca Scamacca",1999,"it ITA","FW","Atalanta","it Serie A",26,24,1315,10,1,57,22,2,0,"Gianluca Scamacca",NA,"Gianluca Scamacca","Gianluca Scamacca","Atalanta BC","serie-a","Attack","Centre-Forward",1999-01-01,"Italy",25000000
"Gianluigi Donnarumma",1999,"it ITA","GK","Manchester City","eng Premier League",26,34,3060,0,0,0,0,8,0,"Gianluigi Donnarumma",NA,"Gianluigi Donnarumma","Gianluigi Donnarumma","Manchester City","premier-league","Goalkeeper","Goalkeeper",1999-02-25,"Italy",45000000
"Gideon Mensah",1998,"gh GHA","DF","Auxerre","fr Ligue 1",27,30,2327,0,2,1,0,8,0,"Gideon Mensah",NA,"Gideon Mensah","Gideon Mensah","AJ Auxerre","ligue-1","Defender","Left-Back",1998-07-18,"Ghana",4000000
"Gift Orban",2002,"ng NGA","FW","Hellas Verona","it Serie A",23,28,2027,7,2,85,28,4,1,"Gift Orban",NA,"Gift Orban","Gift Orban","Hellas Verona","serie-a","Attack","Centre-Forward",2002-07-17,"Nigeria",7000000
"Gioele Zacchi",2003,"it ITA","GK","Sassuolo","it Serie A",22,1,8,0,0,0,0,0,0,"Gioele Zacchi",NA,"Gioele Zacchi","Gioele Zacchi","US Sassuolo","serie-a","Goalkeeper","Goalkeeper",2003-07-10,"Italy",600000
"Giorgi Abuashvili",2003,"ge GEO","MF,FW","Metz","fr Ligue 1",22,23,698,2,0,23,9,1,0,"Giorgi Abuashvili",NA,"Giorgi Abuashvili","Giorgi Abuashvili","FC Metz","ligue-1","Attack","Left Winger",2003-02-08,"Georgia",1000000
"Giorgi Kvilitaia",1993,"ge GEO","FW","Metz","fr Ligue 1",31,10,495,2,0,12,7,1,0,"Giorgi Kvilitaia",NA,"Giorgi Kvilitaia","Giorgi Kvilitaia","FC Metz","ligue-1","Attack","Centre-Forward",1993-10-01,"Georgia",900000
"Giorgi Mamardashvili",2000,"ge GEO","GK","Liverpool","eng Premier League",24,10,867,0,0,0,0,0,0,"Giorgi Mamardashvili",NA,"Giorgi Mamardashvili","Giorgi Mamardashvili","Liverpool FC","premier-league","Goalkeeper","Goalkeeper",2000-09-29,"Georgia",28000000
"Giorgio Scalvini",2003,"it ITA","DF","Atalanta","it Serie A",21,24,1808,3,1,20,6,2,0,"Giorgio Scalvini",NA,"Giorgio Scalvini","Giorgio Scalvini","Atalanta BC","serie-a","Defender","Centre-Back",2003-12-11,"Italy",38000000
"Giovane",2003,"br BRA","FW,MF","Hellas Verona","it Serie A",21,33,1871,3,5,56,27,2,0,"Giovane",NA,"Giovane","Giovane","SSC Napoli","serie-a","Attack","Centre-Forward",2003-11-24,"Brazil",12000000
"Giovani Lo Celso",1996,"ar ARG","MF","Real Betis","es La Liga",29,24,1393,2,3,30,11,4,0,"Giovani Lo Celso",NA,"Giovani Lo Celso","Giovani Lo Celso","Real Betis Balompié","laliga","Midfield","Attacking Midfield",1996-04-09,"Argentina",8000000
"Giovanni Bonfanti",2003,"it ITA","DF,MF","Pisa","it Serie A",22,9,494,0,0,6,1,1,0,"Giovanni Bonfanti",NA,"Giovanni Bonfanti","Giovanni Bonfanti","Pisa Sporting Club","serie-a","Defender","Centre-Back",2003-01-17,"Italy",1000000
"Giovanni Di Lorenzo",1993,"it ITA","DF,MF","Napoli","it Serie A",31,26,2276,2,1,25,9,1,0,"Giovanni Di Lorenzo",NA,"Giovanni Di Lorenzo","Giovanni Di Lorenzo","SSC Napoli","serie-a","Defender","Right-Back",1993-08-04,"Italy",7500000
"Giovanni Fabbian",2003,"it ITA","MF","Bologna","it Serie A",22,29,1173,2,0,21,6,2,0,"Giovanni Fabbian",NA,"Giovanni Fabbian","Giovanni Fabbian","Bologna Football Club 1909","serie-a","Midfield","Attacking Midfield",2003-01-14,"Italy",10000000
"Giovanni Simeone",1995,"ar ARG","FW","Torino","it Serie A",30,32,2230,11,0,78,28,1,0,"Giovanni Simeone",NA,"Giovanni Simeone","Giovanni Simeone","Torino FC","serie-a","Attack","Centre-Forward",1995-07-05,"Argentina",7000000
"Giuliano Simeone",2002,"ar ARG","MF","Atlético Madrid","es La Liga",22,31,2099,4,6,36,14,2,0,"Giuliano Simeone",NA,"Giuliano Simeone","Giuliano Simeone","Atlético de Madrid","laliga","Attack","Right Winger",2002-12-18,"Argentina",40000000
"Giuseppe Ambrosino",2003,"it ITA","FW","Napoli","it Serie A",21,3,38,0,0,0,0,0,0,"Giuseppe Ambrosino",NA,"Giuseppe Ambrosino","Giuseppe Ambrosino","SSC Napoli","serie-a","Attack","Centre-Forward",2003-09-10,"Italy",1800000
"Giuseppe Pezzella",1997,"it ITA","MF,DF","Cremonese","it Serie A",27,31,2585,0,1,6,0,8,1,"Giuseppe Pezzella",NA,"Giuseppe Pezzella","Giuseppe Pezzella","US Cremonese","serie-a","Defender","Left-Back",1997-11-29,"Italy",2000000
"Glen Kamara",1995,"fi FIN","MF","Rennes","fr Ligue 1",29,4,61,0,0,0,0,0,0,"Glen Kamara",NA,"Glen Kamara","Glen Kamara","Stade Rennais FC","ligue-1","Midfield","Central Midfield",1995-10-28,"Finland",2000000
"Godson Kyeremeh",2000,"fr FRA","FW","Le Havre","fr Ligue 1",25,13,381,1,1,6,2,0,0,"Godson Kyeremeh",NA,"Godson Kyeremeh","Godson Kyeremeh","Le Havre AC","ligue-1","Attack","Right Winger",2000-06-14,"France",500000
"Goduine Koyalipou",2000,"cf CTA","FW","Angers","fr Ligue 1",25,24,915,3,1,32,13,1,0,"Goduine Koyalipou",NA,"Goduine Koyalipou","Goduine Koyalipou","Levante UD","laliga","Attack","Centre-Forward",2000-02-15,"Central African Republic",2500000
